Process ID,Process Name,Department,Process Owner,Start Date,End Date,Cycle Time (Hours),Standard Cycle Time,Employee Assigned,Task Volume,Tasks Completed,Productivity %,Error Count,Rework Count,Process Cost ($),Customer Complaints,SLA Target (%),SLA Achieved (%),Process Status,Improvement Opportunity,Process Efficiency %,Error Rate %,Rework Rate %,Task Completion Rate %,Cost per Task ($),SLA Breach
PRC-0051,Customer Complaint Handling,CX,Suresh Reddy,2024-08-20,2024-08-20,9.3,8,5,79,47,59.5,3,2,13967.0,8,94,89,Completed,Streamline handoffs,86.0,3.8,2.5,59.5,176.8,True
PRC-0052,Customer Complaint Handling,CX,Ananya Das,2024-10-28,2024-10-28,23.8,16,5,92,91,98.9,13,3,27218.0,5,75,64,Completed,Improve training,67.2,14.1,3.3,98.9,295.85,True
PRC-0053,Order Fulfillment,Operations,Ananya Das,2024-01-28,2024-01-28,13.7,12,1,52,43,82.7,7,1,70454.0,9,79,75,Completed,Consolidate duplicate steps,87.6,13.5,1.9,82.7,1354.88,True
PRC-0054,IT Support Ticket,IT,Pooja Patel,2024-09-01,2024-09-01,9.7,5,7,122,94,77.0,18,1,16380.0,9,79,50,On Hold,Reduce approval layers,51.5,14.8,0.8,77.0,134.26,True
PRC-0055,Contract Review,Legal,Rajan Mehta,2024-11-01,2024-11-02,26.0,16,4,153,110,71.9,14,4,69512.0,6,79,81,In Progress,None Required,61.5,9.2,2.6,71.9,454.33,False
PRC-0056,Data Reconciliation,Finance,Priya Sharma,2024-04-18,2024-04-18,13.5,8,4,60,39,65.0,8,1,16740.0,6,84,89,In Progress,Digitize paper forms,59.3,13.3,1.7,65.0,279.0,False
PRC-0057,IT Support Ticket,IT,Kavya Iyer,2024-12-27,2024-12-27,14.0,8,2,136,79,58.1,7,4,64087.0,10,88,87,Delayed,Streamline handoffs,57.1,5.1,2.9,58.1,471.23,True
PRC-0058,Payroll Processing,HR,Suresh Reddy,2024-04-25,2024-04-25,12.9,14,2,88,81,92.0,1,0,17444.0,4,89,92,Delayed,Digitize paper forms,100.0,1.1,0.0,92.0,198.23,False
PRC-0059,Inventory Management,Operations,Priya Sharma,2024-12-18,2024-12-18,14.0,8,2,89,68,76.4,7,7,11033.0,0,83,92,Completed,Digitize paper forms,57.1,7.9,7.9,76.4,123.97,False
PRC-0060,Vendor Payment,Finance,Ananya Das,2024-12-11,2024-12-11,20.5,13,7,25,24,96.0,2,2,8017.0,2,85,78,In Progress,Digitize paper forms,63.4,8.0,8.0,96.0,320.68,True
PRC-0061,Data Reconciliation,Finance,Priya Sharma,2024-09-08,2024-09-08,7.0,5,8,124,86,69.4,3,1,29735.0,7,79,87,On Hold,Improve training,71.4,2.4,0.8,69.4,239.8,False
PRC-0062,Invoice Processing,Finance,Suresh Reddy,2024-06-10,2024-06-10,9.5,8,1,123,115,93.5,0,0,35994.0,3,86,68,In Progress,Reassign resources,84.2,0.0,0.0,93.5,292.63,True
PRC-0063,Vendor Payment,Finance,Neha Gupta,2024-05-16,2024-05-16,10.8,12,1,93,69,74.2,11,7,14107.0,10,89,96,Completed,Implement RPA,100.0,11.8,7.5,74.2,151.69,False
PRC-0064,Payroll Processing,HR,Suresh Reddy,2024-07-27,2024-07-27,5.2,5,4,49,37,75.5,1,0,42378.0,4,86,90,Completed,Reassign resources,96.2,2.0,0.0,75.5,864.86,False
PRC-0065,Inventory Management,Operations,Neha Gupta,2024-10-09,2024-10-09,7.7,6,5,173,134,77.5,4,0,25719.0,6,80,95,In Progress,Automate manual steps,77.9,2.3,0.0,77.5,148.66,False
PRC-0066,Budget Approval,Finance,Arjun Singh,2024-10-27,2024-10-28,28.6,13,4,145,136,93.8,14,8,41326.0,5,87,93,In Progress,Reassign resources,45.5,9.7,5.5,93.8,285.01,False
PRC-0067,Customer Complaint Handling,CX,Suresh Reddy,2024-05-02,2024-05-02,16.6,13,1,125,71,56.8,15,12,33956.0,10,95,97,In Progress,Implement RPA,78.3,12.0,9.6,56.8,271.65,False
PRC-0068,Customer Onboarding,Sales,Rajan Mehta,2024-09-14,2024-09-14,15.6,13,8,45,42,93.3,3,0,44446.0,7,70,91,Completed,Implement RPA,83.3,6.7,0.0,93.3,987.69,False
PRC-0069,Product Return Processing,Operations,Pooja Patel,2024-05-15,2024-05-15,14.7,9,1,121,101,83.5,10,10,69451.0,6,80,85,In Progress,Reassign resources,61.2,8.3,8.3,83.5,573.98,False
PRC-0070,Contract Review,Legal,Suresh Reddy,2024-02-05,2024-02-05,11.5,7,3,93,92,98.9,11,1,37548.0,1,94,85,In Progress,Reduce approval layers,60.9,11.8,1.1,98.9,403.74,True
PRC-0071,Customer Complaint Handling,CX,Ananya Das,2024-06-02,2024-06-02,3.1,4,3,34,23,67.6,2,1,15918.0,8,83,81,In Progress,Implement RPA,100.0,5.9,2.9,67.6,468.18,True
PRC-0072,Invoice Processing,Finance,Suresh Reddy,2024-11-08,2024-11-08,16.3,10,5,81,62,76.5,9,2,22414.0,10,78,74,Completed,Automate manual steps,61.3,11.1,2.5,76.5,276.72,True
PRC-0073,Data Reconciliation,Finance,Rajan Mehta,2024-10-06,2024-10-06,4.9,6,4,108,107,99.1,9,6,56774.0,7,79,57,On Hold,Reassign resources,100.0,8.3,5.6,99.1,525.69,True
PRC-0074,Quality Inspection,Operations,Rahul Verma,2024-10-19,2024-10-19,14.1,9,8,199,135,67.8,26,21,34685.0,0,88,100,In Progress,Automate manual steps,63.8,13.1,10.6,67.8,174.3,False
PRC-0075,Budget Approval,Finance,Rajan Mehta,2024-05-26,2024-05-27,30.4,16,1,175,159,90.9,7,3,51567.0,10,94,91,Delayed,Implement RPA,52.6,4.0,1.7,90.9,294.67,True
PRC-0076,IT Support Ticket,IT,Pooja Patel,2024-08-13,2024-08-13,6.3,4,5,53,31,58.5,4,2,61061.0,2,76,53,Delayed,Consolidate duplicate steps,63.5,7.5,3.8,58.5,1152.09,True
PRC-0077,Budget Approval,Finance,Kavya Iyer,2024-03-25,2024-03-25,16.6,8,6,143,140,97.9,9,5,65317.0,7,72,54,Delayed,Streamline handoffs,48.2,6.3,3.5,97.9,456.76,True
PRC-0078,Invoice Processing,Finance,Priya Sharma,2024-07-21,2024-07-21,4.4,4,6,51,38,74.5,4,4,33577.0,10,81,51,In Progress,Reassign resources,90.9,7.8,7.8,74.5,658.37,True
PRC-0079,Employee Onboarding,HR,Suresh Reddy,2024-11-08,2024-11-08,11.7,7,2,182,167,91.8,22,9,53693.0,1,74,47,On Hold,Digitize paper forms,59.8,12.1,4.9,91.8,295.02,True
PRC-0080,Invoice Processing,Finance,Rahul Verma,2024-04-30,2024-04-30,10.8,12,7,136,97,71.3,17,13,49051.0,2,83,86,Completed,Reassign resources,100.0,12.5,9.6,71.3,360.67,False
PRC-0081,IT Support Ticket,IT,Priya Sharma,2024-01-17,2024-01-17,18.8,15,7,133,99,74.4,7,5,12452.0,10,81,79,On Hold,Consolidate duplicate steps,79.8,5.3,3.8,74.4,93.62,True
PRC-0082,IT Support Ticket,IT,Rahul Verma,2024-04-07,2024-04-07,10.6,5,4,136,80,58.8,6,5,52962.0,0,71,95,Completed,Implement RPA,47.2,4.4,3.7,58.8,389.43,False
PRC-0083,Invoice Processing,Finance,Rajan Mehta,2024-10-10,2024-10-10,11.1,7,1,79,55,69.6,2,2,5213.0,2,74,79,Completed,Implement RPA,63.1,2.5,2.5,69.6,65.99,False
PRC-0084,Customer Onboarding,Sales,Suresh Reddy,2024-01-08,2024-01-08,17.0,9,8,80,65,81.2,0,0,24903.0,2,93,71,In Progress,Reduce approval layers,52.9,0.0,0.0,81.2,311.29,True
PRC-0085,Product Return Processing,Operations,Priya Sharma,2024-07-04,2024-07-04,19.1,12,8,135,104,77.0,19,1,59543.0,10,86,64,Completed,Automate manual steps,62.8,14.1,0.7,77.0,441.06,True
PRC-0086,Budget Approval,Finance,Rahul Verma,2024-07-24,2024-07-24,17.3,10,6,145,126,86.9,14,1,72445.0,5,89,54,Completed,Digitize paper forms,57.8,9.7,0.7,86.9,499.62,True
PRC-0087,Quality Inspection,Operations,Kavya Iyer,2024-11-01,2024-11-01,13.7,12,8,149,122,81.9,3,0,68959.0,10,94,80,In Progress,Streamline handoffs,87.6,2.0,0.0,81.9,462.81,True
PRC-0088,Employee Onboarding,HR,Rajan Mehta,2024-04-26,2024-04-26,12.1,10,2,136,99,72.8,3,2,37007.0,10,78,68,On Hold,Reassign resources,82.6,2.2,1.5,72.8,272.11,True
PRC-0089,Budget Approval,Finance,Arjun Singh,2024-02-13,2024-02-13,6.7,5,7,115,105,91.3,17,1,48985.0,8,87,66,In Progress,Add SLA alerts,74.6,14.8,0.9,91.3,425.96,True
PRC-0090,Budget Approval,Finance,Arjun Singh,2024-01-27,2024-01-27,12.8,8,2,110,65,59.1,16,6,16605.0,7,77,99,Completed,Improve training,62.5,14.5,5.5,59.1,150.95,False
PRC-0091,Product Return Processing,Operations,Priya Sharma,2024-05-22,2024-05-22,13.5,13,3,129,120,93.0,19,19,55623.0,8,70,83,On Hold,Digitize paper forms,96.3,14.7,14.7,93.0,431.19,False
PRC-0092,IT Support Ticket,IT,Rajan Mehta,2024-12-25,2024-12-25,18.6,16,4,106,75,70.8,5,1,47474.0,6,72,54,In Progress,Automate manual steps,86.0,4.7,0.9,70.8,447.87,True
PRC-0093,Quality Inspection,Operations,Rajan Mehta,2024-08-02,2024-08-02,13.3,11,5,114,78,68.4,10,9,49717.0,0,74,55,Delayed,Automate manual steps,82.7,8.8,7.9,68.4,436.11,True
PRC-0094,Inventory Management,Operations,Suresh Reddy,2024-12-04,2024-12-04,14.3,10,5,133,97,72.9,6,6,43426.0,5,83,52,Completed,None Required,69.9,4.5,4.5,72.9,326.51,True
PRC-0095,Order Fulfillment,Operations,Kavya Iyer,2024-04-22,2024-04-22,21.8,10,3,34,18,52.9,2,0,62551.0,4,79,65,Completed,Reassign resources,45.9,5.9,0.0,52.9,1839.74,True
PRC-0096,Customer Onboarding,Sales,Arjun Singh,2024-07-13,2024-07-13,21.1,12,7,148,118,79.7,21,11,10406.0,0,83,46,Completed,Reduce approval layers,56.9,14.2,7.4,79.7,70.31,True
PRC-0097,Contract Review,Legal,Rajan Mehta,2024-07-26,2024-07-27,24.9,15,7,94,56,59.6,0,0,17890.0,9,84,98,In Progress,Consolidate duplicate steps,60.2,0.0,0.0,59.6,190.32,False
PRC-0098,Budget Approval,Finance,Rajan Mehta,2024-02-24,2024-02-24,9.5,7,4,122,95,77.9,12,4,60935.0,3,80,94,Completed,Improve training,73.7,9.8,3.3,77.9,499.47,False
PRC-0099,Employee Onboarding,HR,Ananya Das,2024-06-27,2024-06-27,16.1,9,8,185,169,91.4,7,1,15983.0,3,75,83,Completed,Reduce approval layers,55.9,3.8,0.5,91.4,86.39,False
PRC-0100,Inventory Management,Operations,Suresh Reddy,2024-10-15,2024-10-16,25.1,16,5,194,187,96.4,18,10,69819.0,10,80,54,Completed,Reassign resources,63.7,9.3,5.2,96.4,359.89,True
PRC-0101,Product Return Processing,Operations,Rahul Verma,2024-05-20,2024-05-20,10.2,13,7,149,86,57.7,14,7,7821.0,5,79,49,In Progress,Reduce approval layers,100.0,9.4,4.7,57.7,52.49,True
PRC-0102,Inventory Management,Operations,Rajan Mehta,2024-10-24,2024-10-25,25.6,12,6,30,22,73.3,4,1,29115.0,7,86,54,On Hold,Reassign resources,46.9,13.3,3.3,73.3,970.5,True
PRC-0103,Customer Complaint Handling,CX,Kavya Iyer,2024-02-13,2024-02-13,20.0,12,7,30,19,63.3,3,3,44305.0,9,75,68,Completed,Digitize paper forms,60.0,10.0,10.0,63.3,1476.83,True
PRC-0104,Product Return Processing,Operations,Ananya Das,2024-06-22,2024-06-22,22.4,14,6,181,152,84.0,2,1,12088.0,10,82,63,Completed,None Required,62.5,1.1,0.6,84.0,66.78,True
PRC-0105,Invoice Processing,Finance,Ananya Das,2024-10-25,2024-10-25,12.8,14,2,109,75,68.8,12,2,49628.0,1,79,80,Completed,Consolidate duplicate steps,100.0,11.0,1.8,68.8,455.3,False
PRC-0106,Data Reconciliation,Finance,Rajan Mehta,2024-12-09,2024-12-09,14.6,10,5,24,17,70.8,1,0,30630.0,7,76,59,On Hold,Implement RPA,68.5,4.2,0.0,70.8,1276.25,True
PRC-0107,Budget Approval,Finance,Ananya Das,2024-02-21,2024-02-21,22.3,12,8,154,87,56.5,10,9,14829.0,6,74,55,Completed,None Required,53.8,6.5,5.8,56.5,96.29,True
PRC-0108,Order Fulfillment,Operations,Vikram Nair,2024-07-29,2024-07-29,15.4,9,6,80,78,97.5,9,4,61429.0,7,77,79,Completed,Reassign resources,58.4,11.2,5.0,97.5,767.86,False
PRC-0109,Data Reconciliation,Finance,Priya Sharma,2024-10-19,2024-10-19,15.3,11,8,92,82,89.1,8,8,36400.0,2,76,96,In Progress,Digitize paper forms,71.9,8.7,8.7,89.1,395.65,False
PRC-0110,Budget Approval,Finance,Rajan Mehta,2024-07-09,2024-07-10,25.2,12,4,152,141,92.8,9,1,62234.0,4,84,77,Completed,Add SLA alerts,47.6,5.9,0.7,92.8,409.43,True
PRC-0111,Budget Approval,Finance,Arjun Singh,2024-08-18,2024-08-18,18.9,9,3,126,72,57.1,16,11,22683.0,1,81,59,Completed,Reduce approval layers,47.6,12.7,8.7,57.1,180.02,True
PRC-0112,Customer Onboarding,Sales,Pooja Patel,2024-01-20,2024-01-20,16.6,8,7,140,120,85.7,4,3,38645.0,0,72,46,Completed,Implement RPA,48.2,2.9,2.1,85.7,276.04,True
PRC-0113,Invoice Processing,Finance,Rahul Verma,2024-05-27,2024-05-27,8.1,7,4,32,21,65.6,4,3,9711.0,7,89,79,Completed,Improve training,86.4,12.5,9.4,65.6,303.47,True
PRC-0114,Customer Complaint Handling,CX,Pooja Patel,2024-03-14,2024-03-14,10.8,8,1,177,125,70.6,18,13,19049.0,10,72,78,On Hold,Reduce approval layers,74.1,10.2,7.3,70.6,107.62,False
PRC-0115,Quality Inspection,Operations,Rahul Verma,2024-08-28,2024-08-28,6.6,4,6,115,76,66.1,0,0,64139.0,5,77,91,In Progress,Reduce approval layers,60.6,0.0,0.0,66.1,557.73,False
PRC-0116,Customer Onboarding,Sales,Suresh Reddy,2024-01-23,2024-01-23,13.7,9,1,184,115,62.5,24,21,39847.0,7,90,56,Delayed,Reduce approval layers,65.7,13.0,11.4,62.5,216.56,True
PRC-0117,IT Support Ticket,IT,Neha Gupta,2024-04-13,2024-04-13,7.5,4,6,30,20,66.7,2,2,34867.0,8,85,61,Completed,Streamline handoffs,53.3,6.7,6.7,66.7,1162.23,True
PRC-0118,Budget Approval,Finance,Arjun Singh,2024-01-25,2024-01-25,16.8,14,5,51,46,90.2,6,3,60748.0,6,80,56,Completed,Reassign resources,83.3,11.8,5.9,90.2,1191.14,True
PRC-0119,Product Return Processing,Operations,Suresh Reddy,2024-02-12,2024-02-12,20.1,15,7,130,106,81.5,5,4,27032.0,1,72,65,In Progress,Digitize paper forms,74.6,3.8,3.1,81.5,207.94,True
PRC-0120,Customer Onboarding,Sales,Kavya Iyer,2024-12-19,2024-12-19,13.5,11,6,30,26,86.7,2,2,79861.0,4,90,95,On Hold,Reduce approval layers,81.5,6.7,6.7,86.7,2662.03,False
